gender,age,wyr,mstat,stdate,consist,achieve,defer,order,exhib,auto,affi,inter,suco,domi,abas,nurt,chang,endu,heter,agg,rank
1,27,0.8,1,1/3/2023,12,8,8,18,18,10,16,17,18,17,14,21,11,20,4,10,0
1,27,0.12,1,1/3/2023,11,18,12,19,12,14,15,17,16,19,13,14,7,19,7,8,0
1,25,0.4,1,1/3/2023,13,12,11,26,12,8,16,15,17,12,12,18,16,20,10,5,0
1,31,0.07,1,1/3/2023,12,12,11,20,18,8,20,21,13,8,18,19,16,21,3,2,0
1,27,0.4,1,1/3/2023,12,13,8,20,14,16,18,19,19,12,14,16,14,22,2,3,0
1,27,0.3,1,1/3/2023,11,16,13,21,17,8,12,21,14,12,18,16,10,23,5,4,0
1,30,0.4,1,1/3/2023,9,18,14,25,16,14,17,14,12,15,13,19,7,19,3,4,0
1,28,0.2,1,1/4/2023,12,17,14,15,12,9,21,15,11,11,12,19,16,25,6,7,0
1,28,0.7,1,1/4/2023,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,28,0.5,1,1/4/2023,14,18,13,23,10,6,20,18,11,12,14,19,18,22,2,4,0
1,24,0.3,1,1/6/2023,11,9,17,12,10,10,16,23,15,12,17,25,13,20,3,8,0
1,23,0.2,1,1/4/2023,10,10,14,12,14,9,18,13,24,9,17,19,13,21,11,6,0
1,28,0.2,1,1/4/2023,10,8,17,20,11,5,16,21,13,14,21,25,10,19,4,6,0
1,25,0.4,1,1/4/2023,9,13,14,19,11,4,17,21,17,8,20,23,16,20,5,2,0
